frame_index,frame_label,previous_frame_label,event_count,"events(event_type,atom_i,atom_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
1,set_000__step_00000100,set_000__step_00000050,60,"(formed,419,470,O,Zn,O-Zn,,1.979105) (formed,559,910,O,Zn,O-Zn,,2.044525) (broken,3,16,Zn,O,O-Zn,2.034366,) (broken,23,36,Zn,O,O-Zn,2.049569,) (broken,43,56,Zn,O,O-Zn,2.187063,) (broken,57,320,O,Zn,O-Zn,2.055565,) (broken,63,76,Zn,O,O-Zn,2.163727,) (broken,77,340,O,Zn,O-Zn,2.122844,) (broken,80,777,Zn,O,O-Zn,2.143952,) (broken,83,96,Zn,O,O-Zn,2.132681,) (broken,97,120,O,Zn,O-Zn,2.168333,) (broken,103,116,Zn,O,O-Zn,2.147613,) (broken,117,140,O,Zn,O-Zn,2.060585,) (broken,137,400,O,Zn,O-Zn,2.168469,) (broken,217,480,O,Zn,O-Zn,2.084544,) (broken,237,500,O,Zn,O-Zn,2.174408,) (broken,260,957,Zn,O,O-Zn,2.143361,) (broken,277,300,O,Zn,O-Zn,2.131416,) (broken,283,296,Zn,O,O-Zn,2.127493,) (broken,293,299,Zn,O,O-Zn,1.976918,) (broken,297,560,O,Zn,O-Zn,2.077889,) (broken,299,590,O,Zn,O-Zn,2.119350,) (broken,303,316,Zn,O,O-Zn,2.050161,) (broken,337,360,O,Zn,O-Zn,2.013925,) (broken,357,380,O,Zn,O-Zn,2.144761,) (broken,377,640,O,Zn,O-Zn,2.157771,) (broken,397,660,O,Zn,O-Zn,2.004280,) (broken,403,416,Zn,O,O-Zn,2.028076,) (broken,423,436,Zn,O,O-Zn,2.148969,) (broken,443,456,Zn,O,O-Zn,2.165222,) (broken,457,720,O,Zn,O-Zn,2.189587,) (broken,463,476,Zn,O,O-Zn,2.152413,) (broken,477,740,O,Zn,O-Zn,2.090491,) (broken,483,496,Zn,O,O-Zn,2.113194,) (broken,497,520,O,Zn,O-Zn,2.128325,) (broken,503,516,Zn,O,O-Zn,2.069819,) (broken,517,540,O,Zn,O-Zn,2.106282,) (broken,557,820,O,Zn,O-Zn,2.112154,) (broken,577,600,O,Zn,O-Zn,1.994089,) (broken,583,596,Zn,O,O-Zn,2.041412,) (broken,597,620,O,Zn,O-Zn,2.055885,) (broken,623,636,Zn,O,O-Zn,2.122866,) (broken,643,656,Zn,O,O-Zn,2.086797,) (broken,657,680,O,Zn,O-Zn,2.058966,) (broken,663,676,Zn,O,O-Zn,2.157118,) (broken,683,696,Zn,O,O-Zn,2.134724,) (broken,684,691,O,Zn,O-Zn,2.032040,) (broken,723,736,Zn,O,O-Zn,2.133988,) (broken,737,760,O,Zn,O-Zn,2.162074,) (broken,743,756,Zn,O,O-Zn,2.116329,) (broken,763,776,Zn,O,O-Zn,2.180576,) (broken,817,840,O,Zn,O-Zn,2.152656,) (broken,823,836,Zn,O,O-Zn,2.130995,) (broken,827,870,O,Zn,O-Zn,2.052593,) (broken,863,876,Zn,O,O-Zn,2.172160,) (broken,883,896,Zn,O,O-Zn,2.103934,) (broken,884,891,O,Zn,O-Zn,2.008585,) (broken,897,920,O,Zn,O-Zn,2.114498,) (broken,903,916,Zn,O,O-Zn,2.155224,) (broken,923,936,Zn,O,O-Zn,2.180798,)"
2,set_000__step_00000150,set_000__step_00000100,60,"(formed,0,697,Zn,O,O-Zn,,2.097107) (formed,20,717,Zn,O,O-Zn,,2.178888) (formed,23,36,Zn,O,O-Zn,,2.105403) (formed,43,56,Zn,O,O-Zn,,1.963496) (formed,57,320,O,Zn,O-Zn,,2.112149) (formed,77,340,O,Zn,O-Zn,,2.029423) (formed,80,777,Zn,O,O-Zn,,2.091339) (formed,83,96,Zn,O,O-Zn,,2.097125) (formed,97,120,O,Zn,O-Zn,,1.994248) (formed,103,116,Zn,O,O-Zn,,2.067232) (formed,137,400,O,Zn,O-Zn,,2.145914) (formed,160,857,Zn,O,O-Zn,,2.082375) (formed,217,480,O,Zn,O-Zn,,2.126755) (formed,237,500,O,Zn,O-Zn,,2.031733) (formed,240,937,Zn,O,O-Zn,,2.012965) (formed,260,957,Zn,O,O-Zn,,2.096165) (formed,277,300,O,Zn,O-Zn,,2.081320) (formed,283,296,Zn,O,O-Zn,,2.064700) (formed,297,560,O,Zn,O-Zn,,2.175806) (formed,323,336,Zn,O,O-Zn,,2.128149) (formed,337,360,O,Zn,O-Zn,,2.164136) (formed,343,356,Zn,O,O-Zn,,2.186094) (formed,357,380,O,Zn,O-Zn,,2.118314) (formed,383,396,Zn,O,O-Zn,,2.057680) (formed,397,660,O,Zn,O-Zn,,2.158145) (formed,403,416,Zn,O,O-Zn,,2.132142) (formed,423,436,Zn,O,O-Zn,,2.076235) (formed,443,456,Zn,O,O-Zn,,2.055988) (formed,457,720,O,Zn,O-Zn,,2.163986) (formed,463,476,Zn,O,O-Zn,,2.179296) (formed,477,740,O,Zn,O-Zn,,2.067553) (formed,483,496,Zn,O,O-Zn,,2.088191) (formed,497,520,O,Zn,O-Zn,,2.066101) (formed,517,540,O,Zn,O-Zn,,2.159238) (formed,557,820,O,Zn,O-Zn,,2.146250) (formed,573,965,Zn,O,O-Zn,,2.190844) (formed,577,600,O,Zn,O-Zn,,2.171120) (formed,597,620,O,Zn,O-Zn,,2.141757) (formed,617,880,O,Zn,O-Zn,,1.918952) (formed,623,636,Zn,O,O-Zn,,2.085241) (formed,637,900,O,Zn,O-Zn,,2.041742) (formed,643,656,Zn,O,O-Zn,,2.086154) (formed,663,676,Zn,O,O-Zn,,2.035667) (formed,683,696,Zn,O,O-Zn,,2.069239) (formed,723,736,Zn,O,O-Zn,,2.060778) (formed,737,760,O,Zn,O-Zn,,2.032896) (formed,763,776,Zn,O,O-Zn,,2.106597) (formed,817,840,O,Zn,O-Zn,,2.048323) (formed,863,876,Zn,O,O-Zn,,2.001009) (formed,883,896,Zn,O,O-Zn,,2.154701) (formed,884,891,O,Zn,O-Zn,,2.118105) (formed,897,920,O,Zn,O-Zn,,2.147174) (formed,903,916,Zn,O,O-Zn,,2.112152) (formed,923,936,Zn,O,O-Zn,,2.078035) (formed,977,978,C,H,C-H,,1.152358) (broken,110,787,Zn,O,O-Zn,2.183113,) (broken,124,131,O,Zn,O-Zn,2.199889,) (broken,187,230,O,Zn,O-Zn,2.182174,) (broken,387,670,O,Zn,O-Zn,2.160584,) (broken,607,890,O,Zn,O-Zn,2.187898,)"
3,set_000__step_00000200,set_000__step_00000150,25,"(formed,3,16,Zn,O,O-Zn,,1.941925) (formed,63,76,Zn,O,O-Zn,,1.955650) (formed,110,787,Zn,O,O-Zn,,2.102403) (formed,117,140,O,Zn,O-Zn,,1.996788) (formed,124,131,O,Zn,O-Zn,,2.129071) (formed,187,230,O,Zn,O-Zn,,2.105337) (formed,303,316,Zn,O,O-Zn,,2.003494) (formed,377,640,O,Zn,O-Zn,,1.941613) (formed,387,670,O,Zn,O-Zn,,2.149700) (formed,503,516,Zn,O,O-Zn,,2.095199) (formed,583,596,Zn,O,O-Zn,,1.843780) (formed,657,680,O,Zn,O-Zn,,1.946367) (formed,684,691,O,Zn,O-Zn,,2.054445) (formed,743,756,Zn,O,O-Zn,,1.952612) (formed,823,836,Zn,O,O-Zn,,1.943313) (formed,827,870,O,Zn,O-Zn,,2.176001) (formed,893,1032,Zn,O,O-Zn,,2.192121) (broken,270,276,Zn,O,O-Zn,2.141234,) (broken,290,296,Zn,O,O-Zn,2.098487,) (broken,347,390,O,Zn,O-Zn,2.139354,) (broken,364,371,O,Zn,O-Zn,2.090072,) (broken,530,536,Zn,O,O-Zn,2.036240,) (broken,550,556,Zn,O,O-Zn,2.040602,) (broken,647,690,O,Zn,O-Zn,2.064054,) (broken,930,936,Zn,O,O-Zn,2.167188,)"
4,set_000__step_00000250,set_000__step_00000200,14,"(formed,270,276,Zn,O,O-Zn,,2.015675) (formed,290,296,Zn,O,O-Zn,,2.152411) (formed,364,371,O,Zn,O-Zn,,2.196212) (formed,530,536,Zn,O,O-Zn,,1.981646) (formed,539,810,O,Zn,O-Zn,,2.188693) (formed,550,556,Zn,O,O-Zn,,2.039242) (formed,930,936,Zn,O,O-Zn,,2.027062) (broken,204,211,O,Zn,O-Zn,2.135802,) (broken,387,670,O,Zn,O-Zn,2.149700,) (broken,447,730,O,Zn,O-Zn,2.084578,) (broken,504,511,O,Zn,O-Zn,2.190500,) (broken,667,710,O,Zn,O-Zn,2.182265,) (broken,704,711,O,Zn,O-Zn,2.154983,) (broken,827,870,O,Zn,O-Zn,2.176001,)"
5,set_000__step_00000300,set_000__step_00000250,66,"(formed,293,299,Zn,O,O-Zn,,2.142819) (formed,533,979,Zn,O,O-Zn,,2.133002) (formed,539,830,O,Zn,O-Zn,,2.063304) (broken,4,11,O,Zn,O-Zn,2.134741,) (broken,7,50,O,Zn,O-Zn,2.164724,) (broken,10,687,Zn,O,O-Zn,2.097896,) (broken,24,31,O,Zn,O-Zn,2.137800,) (broken,30,707,Zn,O,O-Zn,2.110810,) (broken,44,51,O,Zn,O-Zn,2.106301,) (broken,47,330,O,Zn,O-Zn,2.065211,) (broken,67,350,O,Zn,O-Zn,2.142999,) (broken,90,767,Zn,O,O-Zn,2.129301,) (broken,104,111,O,Zn,O-Zn,2.124496,) (broken,107,150,O,Zn,O-Zn,2.090158,) (broken,117,140,O,Zn,O-Zn,1.903369,) (broken,124,131,O,Zn,O-Zn,2.185346,) (broken,144,151,O,Zn,O-Zn,2.119425,) (broken,147,430,O,Zn,O-Zn,2.117746,) (broken,167,210,O,Zn,O-Zn,2.188007,) (broken,170,847,Zn,O,O-Zn,2.092583,) (broken,184,191,O,Zn,O-Zn,2.089169,) (broken,187,230,O,Zn,O-Zn,2.135403,) (broken,190,867,Zn,O,O-Zn,2.063173,) (broken,207,490,O,Zn,O-Zn,2.181662,) (broken,224,231,O,Zn,O-Zn,2.123602,) (broken,227,510,O,Zn,O-Zn,2.056147,) (broken,244,251,O,Zn,O-Zn,2.094269,) (broken,250,927,Zn,O,O-Zn,2.174556,) (broken,264,271,O,Zn,O-Zn,2.084215,) (broken,270,947,Zn,O,O-Zn,2.062807,) (broken,283,296,Zn,O,O-Zn,2.108522,) (broken,303,316,Zn,O,O-Zn,1.957864,) (broken,344,351,O,Zn,O-Zn,2.085294,) (broken,404,411,O,Zn,O-Zn,2.096541,) (broken,407,450,O,Zn,O-Zn,2.066375,) (broken,424,431,O,Zn,O-Zn,2.087747,) (broken,427,470,O,Zn,O-Zn,2.153084,) (broken,444,451,O,Zn,O-Zn,2.135935,) (broken,464,471,O,Zn,O-Zn,2.130032,) (broken,483,496,Zn,O,O-Zn,2.134450,) (broken,484,491,O,Zn,O-Zn,2.185526,) (broken,507,550,O,Zn,O-Zn,2.068000,) (broken,524,531,O,Zn,O-Zn,2.118825,) (broken,544,551,O,Zn,O-Zn,2.184040,) (broken,564,571,O,Zn,O-Zn,2.109548,) (broken,583,596,Zn,O,O-Zn,2.026412,) (broken,587,630,O,Zn,O-Zn,2.108497,) (broken,624,631,O,Zn,O-Zn,2.109701,) (broken,627,910,O,Zn,O-Zn,2.135020,) (broken,644,651,O,Zn,O-Zn,2.168477,) (broken,664,671,O,Zn,O-Zn,2.091981,) (broken,684,691,O,Zn,O-Zn,2.149505,) (broken,727,770,O,Zn,O-Zn,2.180472,) (broken,744,751,O,Zn,O-Zn,2.159654,) (broken,747,790,O,Zn,O-Zn,2.161383,) (broken,764,771,O,Zn,O-Zn,2.103042,) (broken,784,791,O,Zn,O-Zn,2.190651,) (broken,803,816,Zn,O,O-Zn,2.056218,) (broken,804,811,O,Zn,O-Zn,2.191173,) (broken,823,836,Zn,O,O-Zn,2.005999,) (broken,824,831,O,Zn,O-Zn,2.188212,) (broken,844,851,O,Zn,O-Zn,2.099599,) (broken,884,891,O,Zn,O-Zn,2.181925,) (broken,887,930,O,Zn,O-Zn,2.058015,) (broken,893,1032,Zn,O,O-Zn,1.911590,) (broken,907,950,O,Zn,O-Zn,2.181085,)"
6,set_000__step_00000350,set_000__step_00000300,33,"(formed,167,210,O,Zn,O-Zn,,2.171022) (formed,227,510,O,Zn,O-Zn,,2.180410) (formed,283,296,Zn,O,O-Zn,,2.096712) (formed,483,496,Zn,O,O-Zn,,2.191205) (formed,507,550,O,Zn,O-Zn,,2.125915) (formed,583,596,Zn,O,O-Zn,,2.078295) (formed,587,630,O,Zn,O-Zn,,2.196227) (formed,627,910,O,Zn,O-Zn,,2.157772) (formed,644,651,O,Zn,O-Zn,,2.186063) (formed,647,690,O,Zn,O-Zn,,2.128487) (formed,727,770,O,Zn,O-Zn,,2.170848) (formed,887,930,O,Zn,O-Zn,,2.173253) (broken,3,16,Zn,O,O-Zn,2.174540,) (broken,64,71,O,Zn,O-Zn,2.170428,) (broken,84,91,O,Zn,O-Zn,2.146299,) (broken,87,130,O,Zn,O-Zn,2.158941,) (broken,164,171,O,Zn,O-Zn,2.197753,) (broken,260,957,Zn,O,O-Zn,2.107271,) (broken,284,291,O,Zn,O-Zn,2.190082,) (broken,304,311,O,Zn,O-Zn,2.193737,) (broken,324,331,O,Zn,O-Zn,2.143925,) (broken,343,356,Zn,O,O-Zn,2.179413,) (broken,364,371,O,Zn,O-Zn,2.195852,) (broken,377,640,O,Zn,O-Zn,2.161576,) (broken,384,391,O,Zn,O-Zn,2.132030,) (broken,503,516,Zn,O,O-Zn,2.165970,) (broken,584,591,O,Zn,O-Zn,2.171931,) (broken,604,611,O,Zn,O-Zn,2.073795,) (broken,724,731,O,Zn,O-Zn,2.176304,) (broken,807,850,O,Zn,O-Zn,2.183909,) (broken,864,871,O,Zn,O-Zn,2.191239,) (broken,924,931,O,Zn,O-Zn,2.195585,) (broken,944,951,O,Zn,O-Zn,2.154135,)"
7,set_000__step_00000400,set_000__step_00000350,63,"(formed,3,16,Zn,O,O-Zn,,2.157533) (formed,7,50,O,Zn,O-Zn,,2.082930) (formed,10,687,Zn,O,O-Zn,,2.110136) (formed,24,31,O,Zn,O-Zn,,2.143417) (formed,30,707,Zn,O,O-Zn,,2.143153) (formed,44,51,O,Zn,O-Zn,,2.119514) (formed,47,330,O,Zn,O-Zn,,2.032952) (formed,67,350,O,Zn,O-Zn,,2.190130) (formed,87,130,O,Zn,O-Zn,,2.178995) (formed,90,767,Zn,O,O-Zn,,2.196361) (formed,107,150,O,Zn,O-Zn,,2.138754) (formed,117,140,O,Zn,O-Zn,,2.187339) (formed,124,131,O,Zn,O-Zn,,2.050854) (formed,147,430,O,Zn,O-Zn,,1.995795) (formed,170,847,Zn,O,O-Zn,,2.048137) (formed,184,191,O,Zn,O-Zn,,2.119115) (formed,187,230,O,Zn,O-Zn,,2.087019) (formed,190,867,Zn,O,O-Zn,,2.125224) (formed,204,211,O,Zn,O-Zn,,2.066521) (formed,244,251,O,Zn,O-Zn,,2.184774) (formed,250,927,Zn,O,O-Zn,,2.073905) (formed,260,957,Zn,O,O-Zn,,2.164227) (formed,270,947,Zn,O,O-Zn,,2.075761) (formed,303,316,Zn,O,O-Zn,,2.036775) (formed,304,311,O,Zn,O-Zn,,2.177833) (formed,343,356,Zn,O,O-Zn,,2.104547) (formed,344,351,O,Zn,O-Zn,,2.172207) (formed,364,371,O,Zn,O-Zn,,2.130836) (formed,377,640,O,Zn,O-Zn,,2.133873) (formed,387,670,O,Zn,O-Zn,,2.165508) (formed,404,411,O,Zn,O-Zn,,2.161073) (formed,407,450,O,Zn,O-Zn,,2.082148) (formed,427,470,O,Zn,O-Zn,,2.144279) (formed,447,730,O,Zn,O-Zn,,2.083265) (formed,464,471,O,Zn,O-Zn,,2.035032) (formed,503,516,Zn,O,O-Zn,,2.134865) (formed,504,511,O,Zn,O-Zn,,2.167584) (formed,524,531,O,Zn,O-Zn,,2.121956) (formed,544,551,O,Zn,O-Zn,,2.109548) (formed,564,571,O,Zn,O-Zn,,2.186427) (formed,604,611,O,Zn,O-Zn,,2.179649) (formed,607,890,O,Zn,O-Zn,,2.025167) (formed,624,631,O,Zn,O-Zn,,2.126470) (formed,667,710,O,Zn,O-Zn,,2.087376) (formed,684,691,O,Zn,O-Zn,,2.099337) (formed,747,790,O,Zn,O-Zn,,2.118169) (formed,784,791,O,Zn,O-Zn,,1.983198) (formed,803,816,Zn,O,O-Zn,,2.151609) (formed,804,811,O,Zn,O-Zn,,2.137322) (formed,807,850,O,Zn,O-Zn,,2.188528) (formed,824,831,O,Zn,O-Zn,,2.095032) (formed,827,870,O,Zn,O-Zn,,2.126898) (formed,864,871,O,Zn,O-Zn,,2.112496) (formed,884,891,O,Zn,O-Zn,,2.139114) (formed,907,950,O,Zn,O-Zn,,2.042855) (broken,237,500,O,Zn,O-Zn,2.100478,) (broken,257,280,O,Zn,O-Zn,2.084036,) (broken,317,580,O,Zn,O-Zn,2.087733,) (broken,423,436,Zn,O,O-Zn,2.042164,) (broken,437,460,O,Zn,O-Zn,2.175267,) (broken,573,965,Zn,O,O-Zn,2.141496,) (broken,917,940,O,Zn,O-Zn,2.160287,) (broken,943,956,Zn,O,O-Zn,2.159732,)"
8,set_000__step_00000450,set_000__step_00000400,34,"(formed,4,11,O,Zn,O-Zn,,2.191392) (formed,64,71,O,Zn,O-Zn,,2.054409) (formed,84,91,O,Zn,O-Zn,,2.089669) (formed,104,111,O,Zn,O-Zn,,2.119466) (formed,164,171,O,Zn,O-Zn,,2.124681) (formed,207,490,O,Zn,O-Zn,,1.990734) (formed,237,500,O,Zn,O-Zn,,2.135178) (formed,257,280,O,Zn,O-Zn,,2.069002) (formed,264,271,O,Zn,O-Zn,,2.130792) (formed,284,291,O,Zn,O-Zn,,2.040033) (formed,299,570,O,Zn,O-Zn,,2.113524) (formed,317,580,O,Zn,O-Zn,,2.054804) (formed,324,331,O,Zn,O-Zn,,2.054362) (formed,347,390,O,Zn,O-Zn,,1.987235) (formed,384,391,O,Zn,O-Zn,,2.093216) (formed,423,436,Zn,O,O-Zn,,1.995432) (formed,437,460,O,Zn,O-Zn,,2.156571) (formed,444,451,O,Zn,O-Zn,,2.176108) (formed,484,491,O,Zn,O-Zn,,2.091721) (formed,584,591,O,Zn,O-Zn,,2.067718) (formed,704,711,O,Zn,O-Zn,,2.116352) (formed,724,731,O,Zn,O-Zn,,2.067182) (formed,744,751,O,Zn,O-Zn,,2.111245) (formed,764,771,O,Zn,O-Zn,,2.077171) (formed,823,836,Zn,O,O-Zn,,1.994232) (formed,844,851,O,Zn,O-Zn,,2.150232) (formed,917,940,O,Zn,O-Zn,,2.128521) (formed,924,931,O,Zn,O-Zn,,2.168315) (formed,943,956,Zn,O,O-Zn,,2.030238) (broken,171,177,Zn,O,O-Zn,1.865713,) (broken,533,979,Zn,O,O-Zn,1.913521,) (broken,539,810,O,Zn,O-Zn,2.093411,) (broken,539,830,O,Zn,O-Zn,2.072527,) (broken,583,596,Zn,O,O-Zn,2.000100,)"
9,set_000__step_00000500,set_000__step_00000450,12,"(formed,144,151,O,Zn,O-Zn,,2.040652) (formed,171,177,Zn,O,O-Zn,,2.072723) (formed,224,231,O,Zn,O-Zn,,2.081677) (formed,424,431,O,Zn,O-Zn,,2.087527) (formed,499,533,O,Zn,O-Zn,,2.135776) (formed,664,671,O,Zn,O-Zn,,2.092444) (formed,944,951,O,Zn,O-Zn,,2.090891) (broken,223,236,Zn,O,O-Zn,2.153473,) (broken,263,276,Zn,O,O-Zn,2.001920,) (broken,397,660,O,Zn,O-Zn,1.976707,) (broken,644,651,O,Zn,O-Zn,2.181237,) (broken,904,911,O,Zn,O-Zn,2.146536,)"
10,set_000__step_00000550,set_000__step_00000500,16,"(formed,223,236,Zn,O,O-Zn,,2.136002) (formed,263,276,Zn,O,O-Zn,,2.164086) (formed,393,999,Zn,O,O-Zn,,1.967711) (formed,397,660,O,Zn,O-Zn,,2.107756) (formed,533,979,Zn,O,O-Zn,,2.006346) (formed,583,596,Zn,O,O-Zn,,1.997021) (formed,644,651,O,Zn,O-Zn,,2.135290) (broken,3,16,Zn,O,O-Zn,2.122506,) (broken,117,140,O,Zn,O-Zn,2.161175,) (broken,323,336,Zn,O,O-Zn,2.105089,) (broken,324,331,O,Zn,O-Zn,2.024802,) (broken,423,436,Zn,O,O-Zn,2.007695,) (broken,503,516,Zn,O,O-Zn,2.159609,) (broken,577,600,O,Zn,O-Zn,2.172412,) (broken,604,611,O,Zn,O-Zn,2.166271,) (broken,703,716,Zn,O,O-Zn,2.179110,)"
